Frame,Wrist_x,Thumb_CMC_x,Thumb_MCP_x,Thumb_IP_x,Thumb_Tip_x,Index_MCP_x,Index_PIP_x,Index_DIP_x,Index_Tip_x,Middle_MCP_x,Middle_PIP_x,Middle_DIP_x,Middle_Tip_x,Ring_MCP_x,Ring_PIP_x,Ring_DIP_x,Ring_Tip_x,Pinky_MCP_x,Pinky_PIP_x,Pinky_DIP_x,Pinky_Tip_x,Wrist_y,Thumb_CMC_y,Thumb_MCP_y,Thumb_IP_y,Thumb_Tip_y,Index_MCP_y,Index_PIP_y,Index_DIP_y,Index_Tip_y,Middle_MCP_y,Middle_PIP_y,Middle_DIP_y,Middle_Tip_y,Ring_MCP_y,Ring_PIP_y,Ring_DIP_y,Ring_Tip_y,Pinky_MCP_y,Pinky_PIP_y,Pinky_DIP_y,Pinky_Tip_y
0,1372.5,183.75,1161.5625,282.1875,1016.25,375.9375,889.6875,497.8125,856.875,615.0,1156.875,582.1875,1142.8125,741.5625,1161.5625,849.375,580.3125,943.125,463.125,633.75,1264.6875,783.75,1260.0,891.5625,1241.25,985.3125,1363.125,629.0625,1353.75,765.0,1344.375,868.125,1320.9375,975.9375,1447.5,591.5625,1461.5625,699.375,1470.9375,783.75,1456.875,868.125
1,1372.5,179.0625,1170.9375,277.5,1025.625,375.9375,917.8125,497.8125,875.625,615.0,1161.5625,582.1875,1147.5,736.875,1166.25,849.375,561.5625,943.125,1278.75,633.75,1269.375,783.75,1260.0,891.5625,1236.5625,985.3125,1367.8125,619.6875,1353.75,760.3125,1349.0625,868.125,1320.9375,975.9375,1447.5,586.875,1466.25,694.6875,1470.9375,779.0625,1456.875,863.4375
2,1372.5,179.0625,1170.9375,277.5,1025.625,371.25,917.8125,497.8125,875.625,615.0,1161.5625,582.1875,1147.5,736.875,1170.9375,849.375,547.5,947.8125,1278.75,629.0625,1274.0625,779.0625,1260.0,891.5625,1241.25,985.3125,1363.125,619.6875,1358.4375,760.3125,1349.0625,868.125,1320.9375,975.9375,1447.5,582.1875,1461.5625,690.0,1470.9375,774.375,1456.875,854.0625
3,1372.5,179.0625,1170.9375,282.1875,1025.625,371.25,931.875,497.8125,880.3125,615.0,1161.5625,582.1875,1147.5,736.875,1170.9375,849.375,552.1875,947.8125,1278.75,633.75,1274.0625,779.0625,1260.0,891.5625,1241.25,985.3125,1363.125,619.6875,1358.4375,760.3125,1349.0625,868.125,1320.9375,975.9375,1447.5,582.1875,1461.5625,694.6875,1470.9375,779.0625,1456.875,858.75
4,1377.1875,179.0625,1166.25,277.5,1016.25,371.25,917.8125,497.8125,875.625,619.6875,505.3125,577.5,1161.5625,736.875,1180.3125,849.375,552.1875,947.8125,463.125,629.0625,1269.375,779.0625,1260.0,891.5625,1241.25,985.3125,1363.125,619.6875,1353.75,755.625,1344.375,868.125,1316.25,975.9375,1442.8125,582.1875,1461.5625,694.6875,1470.9375,779.0625,1456.875,858.75
5,1372.5,183.75,472.5,286.875,997.5,375.9375,880.3125,502.5,856.875,619.6875,505.3125,586.875,547.5,741.5625,556.875,849.375,561.5625,943.125,458.4375,633.75,1260.0,783.75,1260.0,891.5625,1236.5625,985.3125,1363.125,629.0625,1353.75,765.0,1344.375,868.125,1320.9375,975.9375,1442.8125,591.5625,1461.5625,699.375,1470.9375,779.0625,1456.875,863.4375
6,1372.5,179.0625,1175.625,286.875,1030.3125,375.9375,922.5,497.8125,880.3125,615.0,1161.5625,586.875,1147.5,741.5625,1161.5625,849.375,561.5625,943.125,1274.0625,638.4375,1264.6875,783.75,1260.0,891.5625,1236.5625,985.3125,1363.125,629.0625,1349.0625,765.0,1344.375,868.125,1320.9375,975.9375,1447.5,586.875,1466.25,694.6875,1470.9375,779.0625,1456.875,858.75
7,1381.875,179.0625,472.5,282.1875,1011.5625,375.9375,913.125,497.8125,875.625,619.6875,519.375,586.875,1161.5625,736.875,1180.3125,844.6875,561.5625,943.125,458.4375,633.75,1260.0,779.0625,1260.0,891.5625,1245.9375,985.3125,1353.75,624.375,1349.0625,765.0,1339.6875,868.125,1316.25,975.9375,1447.5,577.5,1466.25,690.0,1470.9375,774.375,1461.5625,858.75
8,1381.875,179.0625,472.5,277.5,1016.25,371.25,908.4375,497.8125,870.9375,619.6875,519.375,582.1875,1161.5625,736.875,1180.3125,844.6875,561.5625,943.125,463.125,629.0625,1260.0,779.0625,1260.0,891.5625,1245.9375,990.0,1353.75,619.6875,1349.0625,760.3125,1339.6875,868.125,1316.25,975.9375,1447.5,577.5,1466.25,690.0,1470.9375,774.375,1461.5625,858.75
9,1381.875,179.0625,1166.25,277.5,1011.5625,375.9375,922.5,502.5,880.3125,619.6875,1166.25,586.875,1161.5625,736.875,1180.3125,844.6875,1203.75,947.8125,1264.6875,633.75,1260.0,779.0625,1260.0,896.25,1245.9375,994.6875,1353.75,619.6875,1349.0625,760.3125,1339.6875,868.125,1306.875,980.625,1442.8125,572.8125,1461.5625,685.3125,1470.9375,769.6875,1456.875,854.0625
