Frame,Wrist_x,Thumb_CMC_x,Thumb_MCP_x,Thumb_IP_x,Thumb_Tip_x,Index_MCP_x,Index_PIP_x,Index_DIP_x,Index_Tip_x,Middle_MCP_x,Middle_PIP_x,Middle_DIP_x,Middle_Tip_x,Ring_MCP_x,Ring_PIP_x,Ring_DIP_x,Ring_Tip_x,Pinky_MCP_x,Pinky_PIP_x,Pinky_DIP_x,Pinky_Tip_x,Wrist_y,Thumb_CMC_y,Thumb_MCP_y,Thumb_IP_y,Thumb_Tip_y,Index_MCP_y,Index_PIP_y,Index_DIP_y,Index_Tip_y,Middle_MCP_y,Middle_PIP_y,Middle_DIP_y,Middle_Tip_y,Ring_MCP_y,Ring_PIP_y,Ring_DIP_y,Ring_Tip_y,Pinky_MCP_y,Pinky_PIP_y,Pinky_DIP_y,Pinky_Tip_y
0,394.6396484375,601.3916015625,363.51171875,524.609375,305.40625,462.353515625,247.30078125,431.2255859375,205.796875,412.548828125,251.451171875,505.9326171875,172.59375,495.556640625,124.8642578125,194.6533203125,81.28515625,209.1796875,239.0,555.7373046875,155.9921875,534.9853515625,110.337890625,530.8349609375,70.9091796875,213.330078125,234.849609375,588.9404296875,160.142578125,578.564453125,114.48828125,564.0380859375,79.2099609375,547.4365234375,236.9248046875,622.1435546875,168.443359375,615.91796875,143.541015625,607.6171875,120.7138671875,597.2412109375
1,394.6396484375,599.31640625,361.4365234375,524.609375,305.40625,460.2783203125,247.30078125,431.2255859375,203.7216796875,414.6240234375,251.451171875,505.9326171875,172.59375,495.556640625,122.7890625,192.578125,81.28515625,205.029296875,236.9248046875,555.7373046875,155.9921875,532.91015625,110.337890625,528.759765625,70.9091796875,524.609375,232.7744140625,586.865234375,158.0673828125,576.4892578125,114.48828125,564.0380859375,79.2099609375,547.4365234375,236.9248046875,622.1435546875,168.443359375,615.91796875,143.541015625,607.6171875,118.638671875,595.166015625
2,392.564453125,601.3916015625,361.4365234375,524.609375,303.3310546875,472.7294921875,247.30078125,435.3759765625,207.8720703125,416.69921875,245.2255859375,510.0830078125,172.59375,495.556640625,122.7890625,188.427734375,81.28515625,205.029296875,228.6240234375,555.7373046875,151.841796875,532.91015625,108.2626953125,528.759765625,70.9091796875,522.5341796875,226.548828125,586.865234375,155.9921875,576.4892578125,114.48828125,561.962890625,79.2099609375,547.4365234375,230.69921875,624.21875,166.3681640625,615.91796875,139.390625,605.5419921875,116.5634765625,595.166015625
3,390.4892578125,601.3916015625,359.361328125,520.458984375,303.3310546875,458.203125,245.2255859375,427.0751953125,205.796875,408.3984375,243.150390625,510.0830078125,166.3681640625,495.556640625,118.638671875,497.6318359375,81.28515625,202.9541015625,226.548828125,557.8125,149.7666015625,534.9853515625,106.1875,526.6845703125,70.9091796875,520.458984375,224.4736328125,588.9404296875,155.9921875,578.564453125,112.4130859375,561.962890625,77.134765625,545.361328125,232.7744140625,622.1435546875,168.443359375,615.91796875,143.541015625,605.5419921875,118.638671875,593.0908203125
4,390.4892578125,599.31640625,363.51171875,518.3837890625,303.3310546875,449.90234375,245.2255859375,425.0,205.796875,406.3232421875,247.30078125,505.9326171875,168.443359375,491.40625,120.7138671875,186.3525390625,81.28515625,200.87890625,232.7744140625,555.7373046875,151.841796875,530.8349609375,108.2626953125,526.6845703125,68.833984375,520.458984375,228.6240234375,586.865234375,155.9921875,576.4892578125,114.48828125,561.962890625,79.2099609375,545.361328125,236.9248046875,622.1435546875,166.3681640625,613.8427734375,143.541015625,603.466796875,120.7138671875,591.015625
5,390.4892578125,599.31640625,361.4365234375,518.3837890625,305.40625,454.052734375,245.2255859375,425.0,203.7216796875,406.3232421875,245.2255859375,505.9326171875,168.443359375,489.3310546875,120.7138671875,182.2021484375,81.28515625,198.8037109375,228.6240234375,555.7373046875,149.7666015625,530.8349609375,106.1875,524.609375,68.833984375,518.3837890625,226.548828125,586.865234375,153.9169921875,576.4892578125,112.4130859375,561.962890625,79.2099609375,545.361328125,232.7744140625,620.068359375,166.3681640625,613.8427734375,141.4658203125,603.466796875,118.638671875,591.015625
6,394.6396484375,599.31640625,363.51171875,518.3837890625,307.4814453125,454.052734375,249.3759765625,425.0,207.8720703125,404.248046875,249.3759765625,505.9326171875,172.59375,493.4814453125,122.7890625,190.5029296875,81.28515625,205.029296875,236.9248046875,555.7373046875,155.9921875,532.91015625,110.337890625,528.759765625,70.9091796875,524.609375,232.7744140625,586.865234375,160.142578125,576.4892578125,116.5634765625,561.962890625,79.2099609375,545.361328125,236.9248046875,620.068359375,168.443359375,613.8427734375,141.4658203125,603.466796875,118.638671875,591.015625
7,394.6396484375,599.31640625,363.51171875,520.458984375,305.40625,460.2783203125,247.30078125,427.0751953125,207.8720703125,406.3232421875,245.2255859375,510.0830078125,168.443359375,495.556640625,120.7138671875,188.427734375,81.28515625,202.9541015625,228.6240234375,555.7373046875,151.841796875,532.91015625,108.2626953125,528.759765625,70.9091796875,522.5341796875,226.548828125,588.9404296875,155.9921875,576.4892578125,112.4130859375,561.962890625,77.134765625,545.361328125,232.7744140625,622.1435546875,166.3681640625,613.8427734375,139.390625,603.466796875,118.638671875,591.015625
8,390.4892578125,599.31640625,361.4365234375,518.3837890625,303.3310546875,460.2783203125,245.2255859375,427.0751953125,205.796875,408.3984375,243.150390625,510.0830078125,166.3681640625,491.40625,118.638671875,188.427734375,81.28515625,202.9541015625,226.548828125,557.8125,149.7666015625,532.91015625,106.1875,528.759765625,70.9091796875,522.5341796875,224.4736328125,588.9404296875,153.9169921875,578.564453125,112.4130859375,561.962890625,77.134765625,547.4365234375,230.69921875,622.1435546875,162.2177734375,613.8427734375,139.390625,603.466796875,116.5634765625,591.015625
9,394.6396484375,599.31640625,365.5869140625,520.458984375,309.556640625,460.2783203125,251.451171875,427.0751953125,212.0224609375,408.3984375,249.3759765625,510.0830078125,172.59375,495.556640625,122.7890625,192.578125,81.28515625,205.029296875,232.7744140625,557.8125,153.9169921875,537.060546875,108.2626953125,530.8349609375,70.9091796875,524.609375,228.6240234375,591.015625,155.9921875,578.564453125,112.4130859375,564.0380859375,77.134765625,547.4365234375,232.7744140625,622.1435546875,166.3681640625,617.9931640625,139.390625,605.5419921875,118.638671875,593.0908203125
