Frame,Wrist_x,Thumb_CMC_x,Thumb_MCP_x,Thumb_IP_x,Thumb_Tip_x,Index_MCP_x,Index_PIP_x,Index_DIP_x,Index_Tip_x,Middle_MCP_x,Middle_PIP_x,Middle_DIP_x,Middle_Tip_x,Ring_MCP_x,Ring_PIP_x,Ring_DIP_x,Ring_Tip_x,Pinky_MCP_x,Pinky_PIP_x,Pinky_DIP_x,Pinky_Tip_x,Wrist_y,Thumb_CMC_y,Thumb_MCP_y,Thumb_IP_y,Thumb_Tip_y,Index_MCP_y,Index_PIP_y,Index_DIP_y,Index_Tip_y,Middle_MCP_y,Middle_PIP_y,Middle_DIP_y,Middle_Tip_y,Ring_MCP_y,Ring_PIP_y,Ring_DIP_y,Ring_Tip_y,Pinky_MCP_y,Pinky_PIP_y,Pinky_DIP_y,Pinky_Tip_y
0,452.5054626464844,184.21824645996094,425.8939208984375,210.82977294921875,341.96527099609375,399.1575012207031,266.2247619628906,390.9693298339844,270.31884765625,380.734130859375,401.3294372558594,198.5475311279297,223.23692321777344,239.48834228515625,163.8727569580078,239.48834228515625,112.69673919677734,247.67649841308594,360.3886413574219,198.5475311279297,210.95468139648438,509.6976623535156,157.73162841796875,509.6976623535156,104.50857543945312,501.509521484375,317.4007873535156,556.7796020507812,217.09580993652344,552.685546875,165.91978454589844,538.3562622070312,110.64969635009766,526.073974609375,309.2126159667969,587.4852294921875,235.5191650390625,589.5322265625,200.719482421875,585.4381713867188,151.59051513671875,577.25
1,452.4491271972656,176.0666961669922,429.9329833984375,212.9113311767578,335.77447509765625,393.0406494140625,270.27288818359375,390.99371337890625,270.27288818359375,386.8998718261719,399.2291259765625,188.34823608398438,223.19363403320312,221.09902954101562,172.02053833007812,239.52134704589844,116.75358581542969,245.662109375,360.3375549316406,188.34823608398438,217.05287170410156,229.28672790527344,161.78591918945312,241.56826782226562,104.4720458984375,251.80288696289062,319.3990783691406,180.16053771972656,223.19363403320312,221.09902954101562,172.02053833007812,231.33364868164062,110.6128158569336,245.662109375,309.1644592285156,163.78515625,239.56903076171875,585.4515380859375,206.81825256347656,585.4515380859375,153.5982208251953,577.2637939453125
2,458.7503662109375,171.75091552734375,440.3224792480469,212.70179748535156,399.37158203125,392.8856506347656,270.3763122558594,392.8856506347656,266.2812194824219,386.7430419921875,411.6568603515625,188.13125610351562,235.5680694580078,229.08213806152344,176.18930053710938,239.3198699951172,118.85806274414062,247.51004028320312,374.8010559082031,184.0361785888672,210.99754333496094,229.08213806152344,163.90403747558594,241.36740112304688,106.57279968261719,251.60513305664062,335.8977355957031,179.9410858154297,223.28280639648438,216.796875,174.14175415039062,231.1296844482422,110.66788482666016,247.51004028320312,344.087890625,161.51318359375,239.6631622314453,161.51318359375,210.99754333496094,188.13125610351562,149.57122802734375,220.8919677734375
3,452.5252990722656,175.99668884277344,430.00738525390625,474.8708801269531,341.9827880859375,392.987548828125,272.3819580078125,392.987548828125,266.2406921386719,386.8462829589844,395.20697021484375,190.32626342773438,219.15777587890625,221.0325164794922,170.02777099609375,239.45628356933594,116.80359649658203,245.5975341796875,352.21820068359375,188.27919006347656,210.9694366455078,229.22085571289062,157.74526977539062,239.45628356933594,104.5210952758789,249.6916961669922,309.2294616699219,180.09085083007812,219.15777587890625,221.0325164794922,172.07485961914062,231.2679443359375,110.66234588623047,245.5975341796875,298.9940490722656,163.7141876220703,237.58152770996094,587.4605102539062,204.82818603515625,585.4133911132812,157.74526977539062,577.22509765625
4,448.26629638671875,176.18780517578125,423.7086181640625,221.2101593017578,325.47802734375,391.0672607421875,274.3162536621094,386.97430419921875,266.13037109375,391.0672607421875,360.2680358886719,196.6525115966797,219.06153869628906,221.2101593017578,163.80682373046875,239.62840270996094,114.6915283203125,245.767822265625,274.3162536621094,188.4666290283203,210.8756561279297,225.3031005859375,153.57447814941406,241.6748809814453,104.45917510986328,249.8607635498047,292.7344970703125,180.28074645996094,217.01507568359375,221.2101593017578,165.85330200195312,231.44252014160156,110.59858703613281,245.767822265625,288.64154052734375,163.9089813232422,235.4333038330078,593.6678466796875,200.643310546875,589.574951171875,161.76036071777344,577.2960815429688
5,456.4217529296875,176.02911376953125,440.0458984375,221.062744140625,411.3881530761719,393.00927734375,274.24029541015625,395.0562744140625,266.0523681640625,393.00927734375,411.3881530761719,188.31101989746094,223.06573486328125,221.062744140625,175.98512268066406,239.48558044433594,116.62262725830078,247.6735076904297,386.8243408203125,188.31101989746094,210.78382873535156,229.25067138671875,167.7971954345703,239.48558044433594,108.4346923828125,251.76748657226562,341.7907409667969,184.217041015625,235.34762573242188,229.25067138671875,180.07908630371094,235.39161682128906,114.57563781738281,247.6735076904297,354.0726318359375,171.93515014648438,247.6295166015625,585.4256591796875,212.830810546875,188.31101989746094,149.3743438720703,229.25067138671875
6,456.672607421875,201.22030639648438,436.1560363769531,209.42694091796875,331.5213928222656,398.1795959472656,265.8682861328125,392.0246276855469,265.8682861328125,389.97296142578125,419.74273681640625,186.8586883544922,218.6801300048828,238.15017700195312,175.5952911376953,238.15017700195312,116.09716033935547,246.3568115234375,386.91619873046875,195.06533813476562,210.47349548339844,517.1758422851562,163.2853240966797,523.330810546875,107.8905258178711,508.9692077636719,335.6247253417969,562.3123779296875,222.783447265625,558.2090454101562,173.5436248779297,550.0023803710938,116.09716033935547,531.5374755859375,327.4180908203125,591.0355834960938,237.1450653076172,599.2422485351562,204.31851196289062,593.0872192382812,150.97537231445312,578.7256469726562
7,457.7252502441406,570.3995361328125,439.1634826660156,215.66326904296875,406.1647644042969,388.90655517578125,272.1074523925781,390.9689636230469,267.98260498046875,395.09381103515625,422.66412353515625,178.53970336914062,237.04629516601562,215.66326904296875,179.2985382080078,234.2250518798828,111.2386703491211,248.6619873046875,395.8526611328125,506.4645080566406,212.29725646972656,502.33966064453125,171.04885864257812,518.8390502929688,111.2386703491211,477.59063720703125,346.35455322265625,553.900146484375,237.04629516601562,549.7753295898438,175.17369079589844,543.5880737304688,111.2386703491211,529.151123046875,344.2921447753906,580.7116088867188,239.1087188720703,588.9613037109375,199.9227294921875,586.8988647460938,138.0501251220703,574.5243530273438
8,446.195556640625,166.55174255371094,429.83746337890625,236.07359313964844,335.7784729003906,373.07257080078125,266.2566223144531,383.2963562011719,260.122314453125,391.47540283203125,276.48040771484375,231.9840850830078,206.9585418701172,250.38693237304688,161.97381591796875,254.4764404296875,112.8995590209961,258.56597900390625,270.34613037109375,197.22314453125,202.86903381347656,229.93931579589844,151.75001525878906,246.2974090576172,104.72051239013672,258.56597900390625,284.6594543457031,180.8650665283203,217.18235778808594,205.40219116210938,166.06333923339844,223.80503845214844,112.8995590209961,246.2974090576172,288.74896240234375,162.46221923828125,239.67471313476562,164.50697326660156,217.18235778808594,180.8650665283203,178.33189392089844,197.22314453125
9,445.2323913574219,179.5521697998047,418.5616149902344,477.0341796875,313.92999267578125,394.9701843261719,262.6400146484375,390.8669738769531,274.9496154785156,388.81536865234375,268.7947998046875,191.8617706298828,219.556396484375,224.6873779296875,164.1632080078125,236.99697875976562,114.9248046875,245.203369140625,268.7947998046875,183.65538024902344,211.35000610351562,230.84217834472656,153.9051971435547,241.1001739501953,106.7184066772461,247.25497436523438,283.156005859375,171.3457794189453,219.556396484375,224.6873779296875,168.2664031982422,230.84217834472656,116.97640228271484,243.1517791748047,283.156005859375,159.0361785888672,238.0207977294922,587.820556640625,203.1436004638672,585.7689819335938,164.1632080078125,579.6141967773438
10,451.3978271484375,574.6412353515625,426.6521301269531,452.9748840332031,327.6693420410156,391.11065673828125,267.86724853515625,391.11065673828125,274.0536804199219,389.04852294921875,406.0307312011719,178.7100830078125,224.56228637695312,234.38790893554688,173.0087432861328,242.636474609375,117.33092498779297,255.00930786132812,366.85003662109375,539.5848388671875,212.18942260742188,512.7769775390625,154.449462890625,514.839111328125,111.14450073242188,506.590576171875,302.92364501953125,570.5169677734375,224.56228637695312,556.0819702148438,166.82232666015625,543.7091064453125,115.26878356933594,529.2741088867188,300.86151123046875,595.2626342773438,238.9972686767578,597.3247680664062,201.87872314453125,595.2626342773438,158.57376098632812,584.9519653320312
11,455.5599060058594,570.5462646484375,428.7552185058594,453.01800537109375,333.9078369140625,389.09912109375,272.0508728027344,389.09912109375,272.0508728027344,395.2848205566406,424.63140869140625,178.78541564941406,236.9985809326172,234.45669555664062,181.32730102539062,242.70428466796875,123.59413146972656,253.0137939453125,401.9505310058594,523.12255859375,218.44149780273438,512.8131103515625,164.83212280273438,516.9368896484375,115.3465347290039,506.62738037109375,319.47454833984375,564.3605346679688,224.627197265625,556.1129760742188,173.0797119140625,549.92724609375,119.4703369140625,535.4939575195312,307.1031494140625,587.0414428710938,249.36997985839844,593.2271728515625,206.07009887695312,589.1033325195312,152.46072387695312,580.8557739257812
12,455.46612548828125,570.6829833984375,432.79010009765625,216.1124267578125,333.8401794433594,387.2133483886719,267.8735656738281,389.2747802734375,271.9964599609375,389.2747802734375,422.4828186035156,179.00621032714844,236.9517059326172,249.09573364257812,173.0465545654297,244.9728240966797,119.44868469238281,257.341552734375,395.6838684082031,535.6382446289062,212.2142333984375,512.9622192382812,160.6778106689453,517.0850830078125,115.32576751708984,506.77783203125,329.7172546386719,564.4985961914062,224.58297729492188,558.314208984375,173.0465545654297,550.0684204101562,119.44868469238281,535.6382446289062,321.471435546875,589.236083984375,241.0746307373047,593.3590087890625,206.0298614501953,591.2975463867188,152.43199157714844,580.990234375
13,457.61590576171875,574.7401733398438,439.0594482421875,215.98228454589844,399.8847351074219,389.1757507324219,272.0514831542969,391.2375793457031,276.1751403808594,395.3612365722656,422.5648498535156,178.86940002441406,237.0004119873047,224.22959899902344,187.51657104492188,236.60055541992188,119.47628021240234,253.0951690673828,397.8229064941406,178.86940002441406,218.4439697265625,510.82354736328125,177.20742797851562,244.84786987304688,115.35262298583984,506.69989013671875,346.2772521972656,564.4310302734375,237.0004119873047,556.1837158203125,189.57839965820312,547.9364013671875,115.35262298583984,533.503662109375,333.9062805175781,582.9874877929688,251.43319702148438,589.1729736328125,206.07301330566406,585.04931640625,150.4036865234375,574.7401733398438
14,451.3048095703125,174.96705627441406,432.7532958984375,216.19268798828125,360.6084289550781,389.34033203125,267.85076904296875,391.401611328125,274.03460693359375,395.524169921875,403.8953552246094,191.45730590820312,220.44129943847656,234.7442169189453,173.03182983398438,242.9893341064453,117.3772201538086,253.29574584960938,354.4245910644531,179.08961486816406,212.1961669921875,224.43780517578125,162.7254180908203,240.9280548095703,109.13209533691406,506.8333740234375,311.1376647949219,170.84449768066406,224.56385803222656,556.3041381835938,175.09310913085938,543.9364624023438,115.3159408569336,533.6300048828125,302.8925476074219,583.1007690429688,238.99282836914062,583.1007690429688,208.0736083984375,583.1007690429688,164.7866973876953,574.8556518554688
