Frame,Wrist_x,Thumb_CMC_x,Thumb_MCP_x,Thumb_IP_x,Thumb_Tip_x,Index_MCP_x,Index_PIP_x,Index_DIP_x,Index_Tip_x,Middle_MCP_x,Middle_PIP_x,Middle_DIP_x,Middle_Tip_x,Ring_MCP_x,Ring_PIP_x,Ring_DIP_x,Ring_Tip_x,Pinky_MCP_x,Pinky_PIP_x,Pinky_DIP_x,Pinky_Tip_x,Wrist_y,Thumb_CMC_y,Thumb_MCP_y,Thumb_IP_y,Thumb_Tip_y,Index_MCP_y,Index_PIP_y,Index_DIP_y,Index_Tip_y,Middle_MCP_y,Middle_PIP_y,Middle_DIP_y,Middle_Tip_y,Ring_MCP_y,Ring_PIP_y,Ring_DIP_y,Ring_Tip_y,Pinky_MCP_y,Pinky_PIP_y,Pinky_DIP_y,Pinky_Tip_y
0,467.8125,891.5625,561.5625,825.9375,814.6875,718.125,894.375,615.0,899.0625,507.1875,556.875,577.5,561.5625,422.8125,585.0,338.4375,608.4375,258.75,486.5625,558.75,500.625,408.75,538.125,310.3125,561.5625,216.5625,444.375,568.125,453.75,436.875,486.5625,361.875,524.0625,263.4375,397.5,591.5625,388.125,488.4375,411.5625,427.5,439.6875,375.9375
1,467.8125,882.1875,547.5,816.5625,955.3125,708.75,908.4375,605.625,899.0625,497.8125,556.875,568.125,552.1875,418.125,575.625,333.75,594.375,254.0625,486.5625,558.75,495.9375,404.0625,528.75,305.625,552.1875,211.875,444.375,568.125,453.75,436.875,481.875,357.1875,519.375,263.4375,402.1875,591.5625,388.125,493.125,406.875,436.875,425.625,375.9375
2,467.8125,891.5625,542.8125,825.9375,955.3125,713.4375,908.4375,605.625,889.6875,497.8125,552.1875,568.125,552.1875,413.4375,570.9375,333.75,594.375,249.375,481.875,558.75,495.9375,404.0625,524.0625,305.625,547.5,211.875,444.375,568.125,449.0625,436.875,477.1875,357.1875,514.6875,263.4375,406.875,591.5625,388.125,493.125,402.1875,446.25,420.9375,385.3125
3,1245.9375,915.0,1067.8125,840.0,960.0,722.8125,908.4375,615.0,889.6875,502.5,538.125,577.5,552.1875,418.125,570.9375,333.75,589.6875,249.375,477.1875,558.75,486.5625,404.0625,519.375,305.625,542.8125,207.1875,439.6875,568.125,449.0625,441.5625,472.5,357.1875,510.0,254.0625,411.5625,591.5625,397.5,493.125,411.5625,436.875,425.625,390.0
4,1241.25,910.3125,1081.875,835.3125,969.375,718.125,922.5,605.625,899.0625,497.8125,1105.3125,572.8125,538.125,413.4375,552.1875,329.0625,570.9375,240.0,477.1875,558.75,486.5625,394.6875,1185.0,291.5625,1180.3125,197.8125,444.375,572.8125,449.0625,441.5625,477.1875,347.8125,510.0,244.6875,1325.625,600.9375,402.1875,493.125,411.5625,436.875,416.25,380.625
5,1236.5625,900.9375,1067.8125,830.625,960.0,718.125,913.125,610.3125,899.0625,502.5,556.875,577.5,547.5,427.5,575.625,333.75,594.375,244.6875,491.25,568.125,491.25,404.0625,519.375,300.9375,1185.0,197.8125,458.4375,572.8125,449.0625,436.875,481.875,352.5,519.375,249.375,411.5625,600.9375,397.5,502.5,411.5625,436.875,425.625,375.9375
6,472.5,886.875,561.5625,821.25,870.9375,718.125,885.0,615.0,875.625,511.875,575.625,572.8125,561.5625,427.5,585.0,333.75,603.75,249.375,491.25,558.75,495.9375,404.0625,528.75,305.625,552.1875,207.1875,439.6875,563.4375,449.0625,432.1875,481.875,357.1875,519.375,258.75,388.125,591.5625,378.75,488.4375,402.1875,427.5,425.625,366.5625
7,463.125,891.5625,561.5625,830.625,810.0,718.125,880.3125,615.0,875.625,511.875,566.25,577.5,561.5625,427.5,585.0,338.4375,603.75,254.0625,491.25,558.75,495.9375,408.75,528.75,310.3125,561.5625,211.875,444.375,568.125,449.0625,436.875,481.875,361.875,519.375,258.75,388.125,591.5625,378.75,488.4375,406.875,422.8125,435.0,366.5625
8,463.125,910.3125,561.5625,840.0,810.0,722.8125,875.625,615.0,875.625,511.875,575.625,582.1875,561.5625,427.5,585.0,333.75,603.75,254.0625,495.9375,558.75,505.3125,404.0625,538.125,310.3125,561.5625,211.875,449.0625,568.125,449.0625,436.875,486.5625,357.1875,524.0625,254.0625,388.125,591.5625,383.4375,488.4375,411.5625,418.125,435.0,366.5625
9,1236.5625,910.3125,1081.875,844.6875,955.3125,722.8125,903.75,610.3125,899.0625,507.1875,575.625,577.5,556.875,422.8125,585.0,329.0625,608.4375,244.6875,505.3125,558.75,505.3125,404.0625,538.125,305.625,561.5625,207.1875,458.4375,568.125,458.4375,432.1875,491.25,352.5,528.75,254.0625,397.5,586.875,388.125,474.375,416.25,413.4375,444.375,361.875
10,1236.5625,900.9375,1067.8125,830.625,955.3125,718.125,908.4375,605.625,903.75,497.8125,566.25,568.125,547.5,418.125,575.625,329.0625,594.375,244.6875,495.9375,554.0625,495.9375,394.6875,528.75,300.9375,552.1875,202.5,458.4375,568.125,453.75,432.1875,486.5625,357.1875,519.375,254.0625,406.875,591.5625,397.5,493.125,411.5625,427.5,430.3125,375.9375
11,1236.5625,891.5625,1081.875,825.9375,955.3125,713.4375,908.4375,600.9375,903.75,493.125,542.8125,558.75,528.75,408.75,547.5,324.375,570.9375,235.3125,481.875,544.6875,481.875,394.6875,510.0,296.25,528.75,197.8125,453.75,558.75,449.0625,432.1875,472.5,352.5,505.3125,254.0625,416.25,591.5625,397.5,497.8125,402.1875,446.25,411.5625,385.3125
12,1231.875,882.1875,495.9375,811.875,960.0,690.0,913.125,577.5,908.4375,479.0625,477.1875,535.3125,481.875,404.0625,505.3125,324.375,538.125,240.0,439.6875,525.9375,449.0625,390.0,481.875,296.25,491.25,202.5,416.25,544.6875,425.625,432.1875,449.0625,352.5,491.25,254.0625,406.875,577.5,406.875,488.4375,411.5625,446.25,425.625,380.625
13,1231.875,891.5625,1086.5625,821.25,974.0625,694.6875,936.5625,577.5,922.5,479.0625,481.875,535.3125,481.875,408.75,505.3125,329.0625,533.4375,240.0,449.0625,521.25,439.6875,390.0,472.5,300.9375,481.875,197.8125,430.3125,530.625,430.3125,422.8125,449.0625,352.5,486.5625,244.6875,416.25,568.125,416.25,479.0625,425.625,436.875,439.6875,380.625
14,1231.875,886.875,1081.875,821.25,969.375,694.6875,931.875,572.8125,913.125,469.6875,1100.625,540.0,472.5,413.4375,491.25,329.0625,519.375,235.3125,444.375,530.625,439.6875,390.0,463.125,291.5625,472.5,193.125,439.6875,540.0,430.3125,422.8125,449.0625,333.75,481.875,244.6875,1325.625,572.8125,425.625,479.0625,439.6875,427.5,449.0625,361.875
