Frame,Wrist_x,Thumb_CMC_x,Thumb_MCP_x,Thumb_IP_x,Thumb_Tip_x,Index_MCP_x,Index_PIP_x,Index_DIP_x,Index_Tip_x,Middle_MCP_x,Middle_PIP_x,Middle_DIP_x,Middle_Tip_x,Ring_MCP_x,Ring_PIP_x,Ring_DIP_x,Ring_Tip_x,Pinky_MCP_x,Pinky_PIP_x,Pinky_DIP_x,Pinky_Tip_x,Wrist_y,Thumb_CMC_y,Thumb_MCP_y,Thumb_IP_y,Thumb_Tip_y,Index_MCP_y,Index_PIP_y,Index_DIP_y,Index_Tip_y,Middle_MCP_y,Middle_PIP_y,Middle_DIP_y,Middle_Tip_y,Ring_MCP_y,Ring_PIP_y,Ring_DIP_y,Ring_Tip_y,Pinky_MCP_y,Pinky_PIP_y,Pinky_DIP_y,Pinky_Tip_y
0,463.125,844.6875,716.25,774.375,805.3125,666.5625,824.0625,568.125,856.875,450.9375,697.5,540.0,594.375,366.5625,585.0,268.125,575.625,183.75,505.3125,516.5625,495.9375,347.8125,505.3125,244.6875,524.0625,141.5625,439.6875,525.9375,430.3125,380.625,439.6875,300.9375,439.6875,202.5,374.0625,563.4375,345.9375,441.5625,336.5625,385.3125,331.875,329.0625
1,467.8125,844.6875,716.25,774.375,810.0,666.5625,824.0625,568.125,856.875,455.625,706.875,530.625,603.75,357.1875,589.6875,263.4375,580.3125,179.0625,514.6875,511.875,495.9375,343.125,505.3125,244.6875,519.375,141.5625,439.6875,525.9375,430.3125,380.625,439.6875,300.9375,435.0,207.1875,374.0625,563.4375,350.625,441.5625,336.5625,385.3125,327.1875,329.0625
2,467.8125,830.625,599.0625,765.0,791.25,657.1875,819.375,563.4375,852.1875,446.25,650.625,525.9375,594.375,352.5,580.3125,258.75,561.5625,179.0625,505.3125,502.5,495.9375,333.75,495.9375,240.0,510.0,141.5625,435.0,516.5625,425.625,375.9375,435.0,300.9375,435.0,207.1875,374.0625,554.0625,345.9375,436.875,336.5625,380.625,331.875,324.375
3,463.125,821.25,613.125,755.625,791.25,657.1875,814.6875,554.0625,852.1875,441.5625,636.5625,525.9375,617.8125,357.1875,608.4375,263.4375,589.6875,183.75,510.0,502.5,505.3125,338.4375,510.0,240.0,524.0625,141.5625,435.0,511.875,430.3125,375.9375,435.0,296.25,435.0,207.1875,369.375,549.375,345.9375,436.875,336.5625,380.625,336.5625,319.6875
4,463.125,825.9375,599.0625,760.3125,800.625,652.5,819.375,558.75,856.875,450.9375,641.25,521.25,603.75,347.8125,589.6875,254.0625,570.9375,179.0625,505.3125,493.125,500.625,329.0625,505.3125,235.3125,524.0625,141.5625,435.0,507.1875,430.3125,366.5625,439.6875,296.25,444.375,207.1875,374.0625,544.6875,345.9375,432.1875,341.25,380.625,336.5625,319.6875
5,463.125,840.0,599.0625,769.6875,791.25,661.875,824.0625,558.75,866.25,446.25,669.375,530.625,627.1875,361.875,617.8125,263.4375,594.375,174.375,519.375,502.5,514.6875,343.125,519.375,240.0,533.4375,136.875,444.375,516.5625,439.6875,380.625,444.375,291.5625,449.0625,202.5,369.375,549.375,350.625,441.5625,341.25,380.625,341.25,315.0
6,467.8125,844.6875,716.25,769.6875,800.625,661.875,824.0625,558.75,866.25,441.5625,683.4375,530.625,603.75,357.1875,594.375,263.4375,594.375,179.0625,519.375,507.1875,510.0,343.125,519.375,240.0,533.4375,136.875,444.375,516.5625,435.0,380.625,439.6875,300.9375,444.375,202.5,374.0625,554.0625,350.625,441.5625,341.25,380.625,336.5625,319.6875
7,467.8125,821.25,725.625,755.625,805.3125,652.5,824.0625,554.0625,856.875,441.5625,702.1875,521.25,603.75,357.1875,608.4375,258.75,613.125,179.0625,528.75,502.5,519.375,333.75,524.0625,235.3125,533.4375,136.875,449.0625,516.5625,439.6875,375.9375,449.0625,296.25,449.0625,202.5,374.0625,554.0625,350.625,436.875,341.25,380.625,336.5625,319.6875
8,467.8125,821.25,725.625,755.625,810.0,657.1875,824.0625,558.75,866.25,441.5625,692.8125,521.25,603.75,352.5,603.75,254.0625,594.375,174.375,528.75,497.8125,519.375,333.75,519.375,230.625,533.4375,132.1875,449.0625,511.875,435.0,371.25,449.0625,291.5625,449.0625,197.8125,374.0625,554.0625,350.625,432.1875,341.25,375.9375,336.5625,315.0
9,472.5,807.1875,716.25,746.25,805.3125,647.8125,824.0625,554.0625,856.875,441.5625,650.625,507.1875,603.75,343.125,603.75,254.0625,594.375,169.6875,519.375,488.4375,505.3125,324.375,510.0,230.625,524.0625,132.1875,444.375,502.5,430.3125,366.5625,439.6875,291.5625,444.375,197.8125,378.75,544.6875,350.625,427.5,341.25,371.25,341.25,315.0
