Frame,Wrist_x,Thumb_CMC_x,Thumb_MCP_x,Thumb_IP_x,Thumb_Tip_x,Index_MCP_x,Index_PIP_x,Index_DIP_x,Index_Tip_x,Middle_MCP_x,Middle_PIP_x,Middle_DIP_x,Middle_Tip_x,Ring_MCP_x,Ring_PIP_x,Ring_DIP_x,Ring_Tip_x,Pinky_MCP_x,Pinky_PIP_x,Pinky_DIP_x,Pinky_Tip_x,Wrist_y,Thumb_CMC_y,Thumb_MCP_y,Thumb_IP_y,Thumb_Tip_y,Index_MCP_y,Index_PIP_y,Index_DIP_y,Index_Tip_y,Middle_MCP_y,Middle_PIP_y,Middle_DIP_y,Middle_Tip_y,Ring_MCP_y,Ring_PIP_y,Ring_DIP_y,Ring_Tip_y,Pinky_MCP_y,Pinky_PIP_y,Pinky_DIP_y,Pinky_Tip_y
0,1358.4375,844.6875,561.5625,783.75,1095.9375,657.1875,1039.6875,554.0625,992.8125,460.3125,1208.4375,497.8125,547.5,347.8125,552.1875,258.75,552.1875,179.0625,1306.875,483.75,505.3125,333.75,528.75,235.3125,542.8125,150.9375,1372.5,502.5,1377.1875,366.5625,1367.8125,277.5,1367.8125,193.125,378.75,544.6875,378.75,436.875,388.125,357.1875,406.875,291.5625
1,1358.4375,844.6875,561.5625,783.75,1095.9375,657.1875,1049.0625,554.0625,1002.1875,460.3125,1208.4375,502.5,542.8125,352.5,547.5,263.4375,547.5,183.75,1306.875,488.4375,505.3125,333.75,528.75,235.3125,542.8125,150.9375,1372.5,502.5,1381.875,366.5625,1372.5,282.1875,1367.8125,193.125,1461.5625,544.6875,1480.3125,446.25,1470.9375,366.5625,1470.9375,296.25
2,1358.4375,844.6875,1213.125,783.75,1095.9375,657.1875,1053.75,554.0625,1016.25,460.3125,1208.4375,497.8125,538.125,347.8125,547.5,263.4375,542.8125,183.75,1302.1875,483.75,1311.5625,333.75,528.75,240.0,542.8125,150.9375,1372.5,502.5,1381.875,366.5625,1372.5,282.1875,1372.5,193.125,1461.5625,544.6875,1480.3125,446.25,1470.9375,366.5625,1470.9375,300.9375
3,1358.4375,844.6875,561.5625,783.75,1095.9375,657.1875,1049.0625,554.0625,1002.1875,460.3125,1203.75,497.8125,538.125,352.5,542.8125,263.4375,538.125,183.75,1302.1875,488.4375,1311.5625,333.75,528.75,240.0,542.8125,150.9375,1372.5,502.5,1381.875,366.5625,1372.5,282.1875,1372.5,193.125,1461.5625,544.6875,1480.3125,446.25,1470.9375,366.5625,1470.9375,300.9375
4,1358.4375,854.0625,1213.125,793.125,1095.9375,661.875,1063.125,558.75,1025.625,465.0,1203.75,502.5,1203.75,352.5,538.125,268.125,528.75,183.75,1302.1875,488.4375,1306.875,338.4375,1311.5625,240.0,538.125,150.9375,1377.1875,507.1875,1386.5625,380.625,1377.1875,286.875,1377.1875,193.125,1466.25,549.375,1480.3125,446.25,1480.3125,375.9375,1470.9375,305.625
5,1358.4375,854.0625,1208.4375,793.125,1095.9375,661.875,1072.5,558.75,1025.625,465.0,1199.0625,507.1875,1203.75,357.1875,1213.125,272.8125,528.75,183.75,1302.1875,493.125,1306.875,343.125,1306.875,244.6875,1311.5625,150.9375,1377.1875,511.875,1386.5625,380.625,1381.875,291.5625,1377.1875,197.8125,1461.5625,554.0625,1480.3125,450.9375,1480.3125,375.9375,1470.9375,305.625
6,1358.4375,854.0625,1208.4375,797.8125,1095.9375,666.5625,1072.5,558.75,1030.3125,465.0,1199.0625,507.1875,1203.75,357.1875,1208.4375,272.8125,519.375,188.4375,1302.1875,488.4375,1306.875,343.125,1306.875,244.6875,1311.5625,150.9375,1377.1875,511.875,1386.5625,380.625,1381.875,291.5625,1377.1875,197.8125,1461.5625,554.0625,1480.3125,450.9375,1480.3125,380.625,1470.9375,315.0
7,1358.4375,854.0625,1208.4375,797.8125,1095.9375,666.5625,1072.5,558.75,1030.3125,465.0,1199.0625,502.5,1203.75,357.1875,519.375,268.125,519.375,183.75,1297.5,488.4375,1306.875,343.125,1306.875,240.0,542.8125,150.9375,1372.5,511.875,1386.5625,380.625,1381.875,291.5625,1372.5,197.8125,1461.5625,554.0625,1480.3125,450.9375,1470.9375,380.625,1466.25,315.0
8,1358.4375,868.125,1208.4375,811.875,1091.25,671.25,1072.5,558.75,1049.0625,469.6875,1199.0625,507.1875,1203.75,357.1875,528.75,272.8125,524.0625,183.75,1302.1875,488.4375,1302.1875,343.125,1302.1875,244.6875,538.125,150.9375,1372.5,516.5625,1381.875,380.625,1377.1875,291.5625,1372.5,197.8125,1461.5625,554.0625,1475.625,450.9375,1470.9375,380.625,1470.9375,315.0
9,1358.4375,863.4375,1208.4375,811.875,1091.25,671.25,1072.5,558.75,1053.75,465.0,1199.0625,502.5,1203.75,352.5,528.75,268.125,528.75,183.75,1297.5,488.4375,1302.1875,338.4375,1302.1875,240.0,533.4375,150.9375,1372.5,516.5625,1386.5625,380.625,1381.875,291.5625,1377.1875,197.8125,1461.5625,558.75,1480.3125,455.625,1475.625,385.3125,1470.9375,315.0
10,1349.0625,854.0625,1199.0625,797.8125,1081.875,666.5625,1067.8125,554.0625,1030.3125,460.3125,1199.0625,493.125,528.75,343.125,538.125,263.4375,538.125,179.0625,1297.5,479.0625,1302.1875,329.0625,519.375,235.3125,538.125,150.9375,1372.5,502.5,1377.1875,375.9375,1377.1875,286.875,1372.5,197.8125,1456.875,549.375,1480.3125,446.25,1475.625,380.625,1470.9375,305.625
11,1344.375,844.6875,1199.0625,793.125,1081.875,666.5625,1049.0625,558.75,1011.5625,460.3125,1199.0625,493.125,528.75,343.125,542.8125,258.75,542.8125,179.0625,1292.8125,479.0625,495.9375,329.0625,519.375,235.3125,538.125,150.9375,1367.8125,502.5,1377.1875,366.5625,1377.1875,282.1875,1372.5,197.8125,1456.875,544.6875,1480.3125,446.25,1475.625,375.9375,1475.625,305.625
12,1344.375,844.6875,1208.4375,793.125,1081.875,666.5625,1049.0625,558.75,983.4375,465.0,1189.6875,502.5,547.5,352.5,556.875,263.4375,552.1875,183.75,1283.4375,488.4375,1302.1875,333.75,528.75,240.0,542.8125,150.9375,1363.125,507.1875,1372.5,375.9375,1372.5,286.875,1377.1875,197.8125,1456.875,554.0625,1475.625,450.9375,1470.9375,375.9375,1470.9375,305.625
13,1344.375,844.6875,561.5625,793.125,1086.5625,666.5625,1049.0625,558.75,969.375,460.3125,1185.0,502.5,542.8125,347.8125,552.1875,263.4375,547.5,183.75,1292.8125,488.4375,1302.1875,333.75,528.75,240.0,538.125,150.9375,1363.125,507.1875,1372.5,375.9375,1372.5,286.875,1377.1875,197.8125,1452.1875,554.0625,1470.9375,450.9375,1475.625,375.9375,1480.3125,305.625
14,1358.4375,844.6875,1217.8125,797.8125,1095.9375,666.5625,1053.75,558.75,1002.1875,469.6875,1189.6875,511.875,538.125,357.1875,547.5,268.125,547.5,183.75,1292.8125,493.125,1297.5,338.4375,519.375,240.0,538.125,150.9375,1363.125,516.5625,1372.5,380.625,1372.5,291.5625,1372.5,197.8125,1452.1875,554.0625,1470.9375,455.625,1470.9375,375.9375,1470.9375,305.625
15,1358.4375,854.0625,1213.125,802.5,1095.9375,671.25,1063.125,558.75,1002.1875,465.0,1199.0625,521.25,1203.75,366.5625,538.125,272.8125,538.125,183.75,1302.1875,502.5,1302.1875,347.8125,519.375,244.6875,538.125,155.625,1372.5,521.25,1377.1875,390.0,1372.5,291.5625,1372.5,197.8125,1452.1875,563.4375,1475.625,455.625,1475.625,380.625,1470.9375,305.625
16,1358.4375,854.0625,556.875,802.5,1110.0,671.25,1053.75,563.4375,1002.1875,465.0,1189.6875,525.9375,528.75,366.5625,538.125,272.8125,538.125,188.4375,1292.8125,502.5,1297.5,347.8125,519.375,244.6875,538.125,155.625,1367.8125,521.25,1377.1875,390.0,1367.8125,291.5625,1367.8125,197.8125,1452.1875,558.75,1470.9375,450.9375,1470.9375,366.5625,1466.25,300.9375
17,1358.4375,854.0625,1213.125,802.5,1095.9375,675.9375,1049.0625,568.125,1011.5625,469.6875,1189.6875,521.25,1199.0625,361.875,538.125,272.8125,528.75,183.75,1292.8125,502.5,1297.5,343.125,519.375,244.6875,538.125,150.9375,1363.125,516.5625,1372.5,380.625,1363.125,291.5625,1363.125,193.125,1452.1875,558.75,1470.9375,446.25,1470.9375,366.5625,1466.25,300.9375
18,1349.0625,844.6875,561.5625,797.8125,1081.875,675.9375,1049.0625,568.125,1016.25,469.6875,1189.6875,521.25,547.5,361.875,547.5,268.125,538.125,183.75,1292.8125,502.5,505.3125,338.4375,528.75,240.0,542.8125,150.9375,1358.4375,516.5625,1363.125,375.9375,486.5625,286.875,505.3125,193.125,1442.8125,558.75,378.75,446.25,1461.5625,366.5625,402.1875,296.25
19,1349.0625,844.6875,561.5625,793.125,702.1875,671.25,1025.625,568.125,1002.1875,469.6875,1199.0625,516.5625,542.8125,361.875,542.8125,272.8125,538.125,188.4375,495.9375,493.125,505.3125,343.125,528.75,240.0,542.8125,150.9375,453.75,511.875,1363.125,375.9375,486.5625,286.875,505.3125,193.125,378.75,544.6875,378.75,446.25,388.125,366.5625,406.875,291.5625
20,1358.4375,844.6875,561.5625,793.125,1081.875,671.25,1030.3125,563.4375,1002.1875,469.6875,1189.6875,502.5,519.375,352.5,528.75,268.125,528.75,183.75,1283.4375,488.4375,505.3125,338.4375,519.375,235.3125,538.125,146.25,1358.4375,502.5,1367.8125,366.5625,1363.125,282.1875,505.3125,193.125,1452.1875,544.6875,1470.9375,446.25,1466.25,366.5625,1461.5625,296.25
21,425.625,844.6875,561.5625,793.125,697.5,671.25,795.9375,568.125,927.1875,469.6875,547.5,507.1875,547.5,357.1875,552.1875,268.125,547.5,188.4375,486.5625,488.4375,505.3125,338.4375,528.75,235.3125,542.8125,146.25,435.0,502.5,444.375,366.5625,472.5,277.5,495.9375,193.125,374.0625,540.0,369.375,436.875,378.75,366.5625,402.1875,291.5625
22,416.25,844.6875,561.5625,797.8125,664.6875,675.9375,772.5,563.4375,889.6875,465.0,552.1875,521.25,547.5,366.5625,556.875,272.8125,552.1875,193.125,486.5625,493.125,505.3125,343.125,528.75,244.6875,547.5,150.9375,435.0,502.5,444.375,366.5625,472.5,282.1875,500.625,188.4375,364.6875,540.0,364.6875,436.875,378.75,352.5,406.875,286.875
