Frame,Wrist,Thumb_CMC,Thumb_MCP,Thumb_IP,Thumb_Tip,Index_MCP,Index_PIP,Index_DIP,Index_Tip,Middle_MCP,Middle_PIP,Middle_DIP,Middle_Tip,Ring_MCP,Ring_PIP,Ring_DIP,Ring_Tip,Pinky_MCP,Pinky_PIP,Pinky_DIP,Pinky_Tip
1.0,1340.625,4.6875,10.481568644530265,28.512949360772904,4.6875,9.375,14.0625,23.90165396996618,18.75,4.6875,10.481568644530265,0.0,10.481568644530265,14.0625,23.90165396996618,10.481568644530265,0.0,13.258252147247767,14.823176532039279,10.481568644530265,14.0625
2.0,1340.6331949050232,19.327057620082783,9.375,28.125,0.0,0.0,0.0,0.0,0.0,18.75,14.0625,4.6875,9.375,0.0,10.481568644530265,23.4375,18.75,14.823176532039279,4.6875,10.481568644530265,14.0625
3.0,0.0,14.823176532039279,14.0625,9.375,10.481568644530265,23.90165396996618,0.0,9.375,10.481568644530265,14.823176532039279,0.0,23.4375,9.375,0.0,10.481568644530265,9.375,9.375,10.481568644530265,14.823176532039279,4.6875,14.823176532039279
4.0,426.5625,0.0,16.90102160373745,9.375,14.823176532039279,14.0625,9.375,9.375,4.6875,9.375,14.0625,9.375,18.75,0.0,0.0,13.258252147247767,14.0625,9.375,14.823176532039279,9.375,14.823176532039279
5.0,426.5625,0.0,4.6875,4.6875,14.0625,6.629126073623883,9.375,10.481568644530265,14.823176532039279,0.0,14.0625,0.0,18.75,0.0,4.6875,4.6875,0.0,0.0,10.481568644530265,0.0,4.6875
6.0,4.6875,43.21661464356041,10.481568644530265,43.21661464356041,23.90165396996618,14.823176532039279,42.44711783501914,32.8125,42.44711783501914,32.8125,32.8125,32.8125,56.25,23.4375,47.10879197400417,34.12551510600243,42.1875,43.21661464356041,23.4375,32.8125,37.5
7.0,14.0625,18.75,13.258252147247767,4.6875,25.242960033442987,14.0625,42.1875,23.90165396996618,28.512949360772904,19.327057620082783,33.14563036811941,9.375,37.79183319514945,23.90165396996618,28.125,35.69893643373707,10.481568644530265,33.8020432074749,25.242960033442987,14.0625,23.90165396996618
8.0,426.5625,13.258252147247767,4.6875,4.6875,4.6875,10.481568644530265,0.0,0.0,14.0625,0.0,0.0,0.0,10.481568644530265,18.75,10.481568644530265,10.481568644530265,9.375,14.0625,0.0,9.375,9.375
9.0,426.5882547170046,10.481568644530265,10.481568644530265,23.4375,0.0,10.481568644530265,0.0,0.0,0.0,0.0,0.0,23.90165396996618,9.375,9.375,4.6875,10.481568644530265,0.0,9.375,0.0,0.0,9.375
10.0,4.6875,10.481568644530265,4.6875,9.375,0.0,16.90102160373745,4.6875,14.0625,14.823176532039279,9.375,9.375,0.0,9.375,13.258252147247767,9.375,14.823176532039279,10.481568644530265,14.0625,9.375,14.823176532039279,14.0625
11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6875,0.0,4.6875,0.0,4.6875,23.4375,0.0,0.0,4.6875,4.6875,9.375,4.6875,0.0,4.6875,0.0
12.0,4.6875,9.375,4.6875,0.0,0.0,13.258252147247767,4.6875,14.0625,16.90102160373745,9.375,10.481568644530265,23.4375,18.75,9.375,10.481568644530265,14.823176532039279,19.327057620082783,14.0625,0.0,16.90102160373745,14.0625
13.0,4.6875,9.375,4.6875,0.0,0.0,9.375,0.0,9.375,14.823176532039279,9.375,4.6875,0.0,4.6875,0.0,4.6875,4.6875,13.258252147247767,10.481568644530265,0.0,0.0,10.481568644530265
14.0,0.0,0.0,9.375,0.0,0.0,0.0,0.0,4.6875,0.0,0.0,0.0,0.0,0.0,0.0,10.481568644530265,0.0,0.0,9.375,6.629126073623883,0.0,4.6875
